,Date,Open,High,Low,Close,P/E,P/B,Div Yield %
5469,2021-12-27,16937.75,17112.05,16833.2,17086.25,23.57,4.28,1.21
5470,2021-12-28,17177.6,17250.25,17161.15,17233.25,23.77,4.31,1.20
5471,2021-12-29,17220.1,17285.95,17176.65,17213.6,23.74,4.31,1.21
5472,2021-12-30,17201.45,17264.05,17146.35,17203.95,23.73,4.31,1.21
5473,2021-12-31,17244.5,17400.8,17238.5,17354.05,24.11,4.37,1.19
5474,2022-01-03,17387.15,17646.65,17383.3,17625.7,24.49,4.44,1.17
5475,2022-01-04,17681.4,17827.6,17593.55,17805.25,24.74,4.49,1.16
5476,2022-01-05,17820.1,17944.7,17748.85,17925.25,24.91,4.52,1.15
5477,2022-01-06,17768.5,17797.95,17655.55,17745.9,24.66,4.47,1.16
5478,2022-01-07,17797.6,17905.0,17704.55,17812.7,24.75,4.49,1.16
5479,2022-01-10,17913.3,18017.45,17879.15,18003.3,25.01,4.54,1.14
5480,2022-01-11,17997.75,18081.25,17964.4,18055.75,25.09,4.55,1.14
5481,2022-01-12,18170.4,18227.95,18128.8,18212.35,25.3,4.59,1.13
5482,2022-01-13,18257.0,18272.25,18163.8,18257.8,25.37,4.6,1.13
5483,2022-01-14,18185.0,18286.95,18119.65,18255.75,25.3,4.6,1.12
5484,2022-01-17,18235.65,18321.55,18228.75,18308.1,25.37,4.61,1.12
5485,2022-01-18,18337.2,18350.95,18085.9,18113.05,25.0,4.56,1.13
5486,2022-01-19,18129.2,18129.2,17884.9,17938.4,24.76,4.52,1.15
5487,2022-01-20,17921.0,17943.7,17648.45,17757.0,24.47,4.47,1.18
5488,2022-01-21,17613.7,17707.6,17485.85,17617.15,24.29,4.44,1.18
5489,2022-01-24,17575.15,17599.4,16997.85,17149.1,23.63,4.32,1.21
5490,2022-01-25,17001.55,17309.15,16836.8,17277.95,23.47,4.35,1.20
5491,2022-01-27,17062.0,17182.5,16866.75,17110.15,23.09,4.31,1.21
5492,2022-01-28,17208.3,17373.5,17077.1,17101.95,23.1,4.31,1.21
5493,2022-01-31,17301.05,17410.0,17264.15,17339.85,23.42,4.37,1.20
5494,2022-02-01,17529.45,17622.4,17244.55,17576.85,23.62,4.43,1.18
5495,2022-02-02,17706.2,17794.6,17674.8,17780.0,23.95,4.48,1.17
5496,2022-02-03,17767.75,17781.15,17511.15,17560.2,23.65,4.42,1.21
5497,2022-02-04,17590.2,17617.8,17462.55,17516.3,23.56,4.41,1.21
5498,2022-02-07,17456.3,17536.75,17119.4,17213.6,23.11,4.34,1.23
5499,2022-02-08,17279.85,17306.45,17043.65,17266.75,22.83,4.35,1.23
5500,2022-02-09,17370.1,17477.15,17339.0,17463.8,23.09,4.4,1.20
5501,2022-02-10,17554.1,17639.45,17427.15,17605.85,22.98,4.44,1.20
5502,2022-02-11,17451.0,17454.75,17303.0,17374.75,22.68,4.38,1.20
5503,2022-02-14,17076.15,17099.5,16809.65,16842.8,21.85,4.24,1.30
5504,2022-02-15,16933.25,17375.0,16839.25,17352.45,22.36,4.37,1.25
5505,2022-02-16,17408.45,17490.6,17257.7,17322.2,22.27,4.36,1.28
5506,2022-02-17,17396.55,17442.9,17235.85,17304.6,22.25,4.36,1.25
5507,2022-02-18,17236.05,17380.8,17219.2,17276.3,22.21,4.35,1.25
5508,2022-02-21,17192.25,17351.05,17070.7,17206.65,22.12,4.34,1.29
5509,2022-02-22,16847.95,17148.55,16843.8,17092.2,21.97,4.31,1.24
5510,2022-02-23,17194.5,17220.7,17027.85,17063.25,21.94,4.3,1.24
5511,2022-02-24,16548.9,16705.25,16203.25,16247.95,20.89,4.09,1.3
5512,2022-02-25,16515.65,16748.8,16478.3,16658.4,21.42,4.2,1.27
5513,2022-02-28,16481.6,16815.9,16356.3,16793.9,21.59,4.23,1.26
5514,2022-03-02,16593.1,16678.5,16478.65,16605.95,21.35,4.18,1.27
5515,2022-03-03,16723.2,16768.95,16442.95,16498.05,21.21,4.16,1.28
5516,2022-03-04,16339.45,16456.0,16133.8,16245.35,20.89,4.09,1.30
5517,2022-03-07,15867.95,15944.6,15711.45,15863.15,20.39,4.0,1.33
5518,2022-03-08,15747.75,16028.75,15671.45,16013.45,20.59,4.03,1.31
5519,2022-03-09,16078.0,16418.05,15990.0,16345.35,21.01,4.12,1.28
5520,2022-03-10,16757.1,16757.3,16447.9,16594.9,21.34,4.18,1.26
5521,2022-03-11,16528.8,16694.4,16470.9,16630.45,21.38,4.19,1.26
5522,2022-03-14,16633.7,16887.95,16606.5,16871.3,21.69,4.25,1.24
5523,2022-03-15,16900.65,16927.75,16555.0,16663.0,21.42,4.2,1.24
5524,2022-03-16,16876.65,16987.9,16837.85,16975.35,21.82,4.28,1.22
5525,2022-03-17,17202.9,17344.6,17175.75,17287.05,22.23,4.36,1.20
5526,2022-03-21,17329.5,17353.35,17096.4,17117.6,22.01,4.31,1.21
5527,2022-03-22,17120.4,17334.4,17006.3,17315.5,22.26,4.36,1.20
5528,2022-03-23,17405.05,17442.4,17199.6,17245.65,22.17,4.35,1.19
5529,2022-03-24,17094.95,17291.75,17091.15,17222.75,22.14,4.34,1.19
5530,2022-03-25,17289.0,17294.9,17076.55,17153.0,22.05,4.32,1.19
5531,2022-03-28,17181.85,17235.1,17003.9,17222.0,22.14,4.34,1.19
5532,2022-03-29,17297.2,17343.65,17235.7,17325.3,22.27,4.37,1.18
5533,2022-03-30,17468.15,17522.5,17387.2,17498.25,22.5,4.41,1.17
5534,2022-03-31,17519.2,17559.8,17435.2,17464.75,22.92,4.46,1.13
5535,2022-04-01,17436.9,17703.7,17422.7,17670.45,23.19,4.51,1.12
5536,2022-04-04,17809.1,18114.65,17791.4,18053.4,23.69,4.61,1.10
5537,2022-04-05,18080.6,18095.45,17921.55,17957.4,23.57,4.59,1.11
5538,2022-04-06,17842.75,17901.0,17779.85,17807.65,23.37,4.55,1.12
5539,2022-04-07,17723.3,17787.5,17623.7,17639.55,23.15,4.51,1.13
5540,2022-04-08,17698.15,17842.75,17600.55,17784.35,23.34,4.54,1.11
5541,2022-04-11,17740.9,17779.05,17650.95,17674.95,23.2,4.52,1.12
5542,2022-04-12,17584.85,17595.3,17442.35,17530.3,23.01,4.48,1.13
5543,2022-04-13,17599.9,17663.65,17457.4,17475.65,22.92,4.46,1.13
5544,2022-04-18,17183.45,17237.75,17067.85,17173.65,22.53,4.39,1.15
5545,2022-04-19,17258.95,17275.65,16824.7,16958.65,22.1,4.33,1.16
5546,2022-04-20,17045.25,17186.9,16978.95,17136.55,22.33,4.38,1.15
5547,2022-04-21,17234.6,17414.7,17215.5,17392.6,22.67,4.44,1.14
5548,2022-04-22,17242.75,17315.3,17149.2,17171.95,22.38,4.39,1.15
5549,2022-04-25,17009.05,17054.3,16888.7,16953.95,22.03,4.33,1.17
5550,2022-04-26,17121.3,17223.85,17064.45,17200.8,22.17,4.39,1.15
5551,2022-04-27,17073.35,17110.7,16958.45,17038.4,21.96,4.35,1.16
5552,2022-04-28,17189.5,17322.5,17071.05,17245.05,22.2,4.41,1.17
5553,2022-04-29,17329.25,17377.65,17053.25,17102.55,22.01,4.37,1.16
5554,2022-05-02,16924.45,17092.25,16917.25,17069.1,21.87,4.36,1.16
5555,2022-05-04,17096.6,17132.85,16623.95,16677.6,21.31,4.26,1.19
5556,2022-05-05,16854.75,16945.7,16651.85,16682.65,21.24,4.26,1.19
5557,2022-05-06,16415.55,16484.2,16340.9,16411.25,20.89,4.19,1.21
5558,2022-05-09,16227.7,16403.7,16142.1,16301.85,20.75,4.17,1.21
5559,2022-05-10,16248.9,16404.55,16197.3,16240.05,20.42,4.15,1.22
5560,2022-05-11,16270.05,16318.75,15992.6,16167.1,20.32,4.13,1.22
5561,2022-05-12,16021.1,16041.95,15735.75,15808.0,19.87,4.04,1.35
5562,2022-05-13,15977.0,16083.6,15740.85,15782.15,19.83,4.03,1.35
5563,2022-05-16,15845.1,15977.95,15739.65,15842.3,19.72,4.05,1.35
5564,2022-05-17,15912.6,16284.25,15900.8,16259.3,20.12,4.15,1.31
5565,2022-05-18,16318.15,16399.8,16211.2,16240.3,20.09,4.15,1.31
5566,2022-05-19,15917.4,15984.75,15775.2,15809.4,19.51,4.04,1.35
5567,2022-05-20,16043.8,16283.05,16003.85,16266.15,20.05,4.16,1.31
5568,2022-05-23,16290.95,16414.7,16185.75,16214.7,20.01,4.14,1.32
5569,2022-05-24,16225.55,16262.8,16078.6,16125.15,19.87,4.12,1.32
5570,2022-05-25,16196.35,16223.35,16006.95,16025.8,19.74,4.09,1.38
5571,2022-05-26,16105.0,16204.45,15903.7,16170.15,19.88,4.13,1.44
5572,2022-05-27,16296.6,16370.6,16221.95,16352.45,20.27,4.18,1.43
5573,2022-05-30,16527.9,16695.5,16506.15,16661.4,20.65,4.26,1.40
5574,2022-05-31,16578.45,16690.75,16521.9,16584.55,20.44,4.24,1.43
5575,2022-06-01,16594.4,16649.2,16438.85,16522.75,20.45,4.22,1.44
5576,2022-06-02,16481.65,16646.4,16443.05,16628.0,20.58,4.25,1.43
5577,2022-06-03,16761.65,16793.85,16567.9,16584.3,20.52,4.24,1.41
5578,2022-06-06,16530.7,16610.95,16444.55,16569.55,20.5,4.24,1.41
5579,2022-06-07,16469.6,16487.25,16347.1,16416.35,20.31,4.2,1.43
5580,2022-06-08,16474.95,16514.3,16293.35,16356.25,20.24,4.18,1.43
5581,2022-06-09,16263.85,16492.8,16243.85,16478.1,20.39,4.21,1.43
5582,2022-06-10,16283.95,16324.7,16172.6,16201.8,20.05,4.14,1.38
5583,2022-06-13,15877.55,15886.15,15684.0,15774.4,19.52,4.03,1.38
